"id","name","slug","division_id","created_at","updated_at"
"1","শেরপুর","sherpur","2","2021-10-17 15:16:08","2021-10-17 15:16:08"
"2","জামালপুর","jamalpur","2","2021-10-17 15:25:26","2021-10-17 15:25:26"
"3","ময়মনসিংহ","mymensingh","2","2021-10-18 02:06:58","2021-10-18 02:06:58"
"4","নেত্রকোনা","netrokona","2","2021-10-18 02:07:43","2021-10-18 02:07:43"
"5","ঢাকা","dhaka","1","2021-10-18 02:26:40","2021-10-18 02:26:40"
"6","ফরিদপুর","faridpur","1","2021-10-18 02:27:15","2021-10-18 02:27:15"
"7","গাজীপুর","gazipur","1","2021-10-18 02:27:59","2021-10-18 02:27:59"
"8","গোপালগঞ্জ","gopalganj","1","2021-10-18 02:28:26","2021-10-18 02:28:26"
"9","কিশোরগঞ্জ","kishoreganj","1","2021-10-18 02:28:55","2021-10-18 02:28:55"
"10","মাদারিপুর","madaripur","1","2021-10-18 02:29:23","2021-10-18 02:29:23"
"11","মানিকগঞ্জ","manikganj","1","2021-10-18 02:29:58","2021-10-18 02:29:58"
"12","মুন্সিগঞ্জ","munsiganj","1","2021-10-18 02:30:30","2021-10-18 02:30:30"
"13","নারায়নগঞ্জ","narayanganj","1","2021-10-18 02:31:00","2021-10-18 02:31:00"
"14","নরসিংদী","narsingdi","1","2021-10-18 02:31:27","2021-10-18 02:31:27"
"15","রাজবাড়ী","rajbari","1","2021-10-18 02:31:47","2021-10-18 02:31:47"
"16","শরিয়তপুর","sariatpur","1","2021-10-18 02:32:34","2021-10-18 02:32:34"
"17","টাঙ্গাইল","tangail","1","2021-10-18 02:32:59","2021-10-18 02:32:59"
"18","কুষ্টিয়া","kushtia","6","2021-10-18 02:37:20","2021-10-18 02:37:20"
"19","খুলনা","khulna","6","2021-10-18 02:37:43","2021-10-18 02:37:43"
"20","চুয়াডাঙ্গা","chuadanga","6","2021-10-18 02:38:08","2021-10-18 02:38:08"
"21","ঝিনাইদহ","jhinaidah","6","2021-10-18 02:38:38","2021-10-18 02:38:38"
"22","নড়াইল","narail","6","2021-10-18 02:39:35","2021-10-18 02:39:35"
"23","বাগেরহাট","bagherhat","6","2021-10-18 02:39:59","2021-10-18 02:39:59"
"24","মাগুরা","magura","6","2021-10-18 02:40:30","2021-10-18 02:40:30"
"25","মেহেরপুর","meherpur","6","2021-10-18 02:41:20","2021-10-18 02:41:20"
"26","যশোর","jeshore","6","2021-10-18 02:42:08","2021-10-18 02:42:08"
"27","সাতক্ষীরা","satkhira","6","2021-10-18 02:42:38","2021-10-18 02:42:38"
"28","চট্টগ্রাম","chatragram","5","2021-10-18 02:48:22","2021-10-18 02:48:22"
"29","কুমিল্লা","comilla","5","2021-10-18 02:49:13","2021-10-18 02:49:13"
"30","কক্সবাজার","coxbazar","5","2021-10-18 02:49:56","2021-10-18 02:49:56"
"31","নোয়াখালী","noakhali","5","2021-10-18 02:50:26","2021-10-18 02:50:26"
"32","ব্রাহ্মণবাড়িয়া","brahmanbaria","5","2021-10-18 02:50:56","2021-10-18 02:50:56"
"33","চাঁদপুর","chandpur","5","2021-10-18 02:51:20","2021-10-18 02:51:20"
"34","লক্ষ্মীপুর","laxmipur","5","2021-10-18 02:51:49","2021-10-18 02:51:49"
"35","ফেনী","feni","5","2021-10-18 02:52:10","2021-10-18 02:52:10"
"36","খাগড়াছড়ি","khagrachari","5","2021-10-18 02:52:35","2021-10-18 02:52:35"
"37","রাঙ্গামাটি","rangamati","5","2021-10-18 02:53:39","2021-10-18 02:53:39"
"38","বান্দরবান","bandarban","5","2021-10-18 02:56:17","2021-10-18 02:56:17"
"39","রাজশাহী","rajshahi","4","2021-10-18 03:49:44","2021-10-18 03:49:44"
"40","নাটোর","natore","4","2021-10-18 03:50:18","2021-10-18 03:50:18"
"41","নওগাঁ","naoga","4","2021-10-18 03:51:01","2021-10-18 03:51:01"
"42","চাঁপাইনবাবগঞ্জ","chapainababganj","4","2021-10-18 03:51:33","2021-10-18 03:51:33"
"43","বগুড়া","bogura","4","2021-10-18 03:51:55","2021-10-18 03:51:55"
"44","জয়পুরহাট","jaipurhat","4","2021-10-18 03:52:19","2021-10-18 03:52:19"
"45","পাবনা","pabna","4","2021-10-18 03:52:47","2021-10-18 03:52:47"
"46","সিরাজগঞ্জ","sirajganj","4","2021-10-18 03:53:10","2021-10-18 03:53:10"
"47","রংপুর","rangpur","3","2021-10-18 03:54:19","2021-10-18 03:54:19"
"48","দিনাজপুর","dinajpur","3","2021-10-18 03:54:48","2021-10-18 03:54:48"
"49","নীলফামারী","nilfamary","3","2021-10-18 03:55:27","2021-10-18 03:55:27"
"50","গাইবান্ধা","gaibandha","3","2021-10-18 03:55:56","2021-10-18 03:55:56"
"51","লালমনিরহাট","lalmanirhat","3","2021-10-18 03:56:20","2021-10-18 03:56:20"
"52","ঠাকুরগাও","thakurgao","3","2021-10-18 03:56:51","2021-10-18 03:56:51"
"53","কুড়িগ্রাম","kurigram","3","2021-10-18 03:57:13","2021-10-18 03:57:13"
